1-t,2-t,label
-61.56481,-69.08551,late_19th-century_style
-73.08724,-50.535873,18th-century_style
-46.207104,-12.5790615,contemporary
-83.70928,-44.62408,18th-century_style
-57.534325,-6.6149735,contemporary
-97.41118,-25.021137,late_19th-century_style
-48.125122,-12.776989,contemporary
-95.20378,-35.33274,early_19th-century_style
-95.20181,-35.331318,early_19th-century_style
-57.562553,-6.56809,late_19th-century_style
-48.128708,-12.7852745,contemporary
-74.705055,-56.269466,18th-century_style
-57.77282,-60.359093,early_19th-century_style
-46.220387,-12.5802965,contemporary
-69.3014,-63.32843,18th-century_style
-68.6719,-62.82259,contemporary
-65.58145,-26.012543,late_19th-century_style
-64.12345,-73.54313,early_19th-century_style
-46.218452,-12.580163,contemporary
-80.80438,-48.325714,18th-century_style
-78.179955,-75.58165,18th-century_style
-55.75629,-68.08811,early_19th-century_style
-55.76392,-68.08293,early_19th-century_style
-71.10554,-37.69756,late_19th-century_style
-80.80438,-48.325714,18th-century_style
-78.17869,-75.57997,18th-century_style
-51.10527,-10.449242,18th-century_style
-55.76967,-68.08639,early_19th-century_style
-66.942726,-70.357605,18th-century_style
-49.294987,-13.420805,contemporary
-83.70824,-44.62506,18th-century_style
-74.89254,-27.5172,late_19th-century_style
-63.995586,-70.33604,early_19th-century_style
-69.90481,-43.8286,late_19th-century_style
-69.90533,-43.829334,late_19th-century_style
-55.265194,-53.44748,late_19th-century_style
-70.142746,-50.64524,late_19th-century_style
-66.17754,-64.86455,late_19th-century_style
-81.90904,-47.59877,18th-century_style
-61.81749,-47.814762,contemporary
-66.17874,-64.86415,late_19th-century_style
-52.64593,-58.909588,contemporary
-66.419815,-64.65046,late_19th-century_style
-60.88876,-69.31687,late_19th-century_style
-64.802055,-63.411053,late_19th-century_style
-62.919643,-65.754814,early_19th-century_style
-62.915535,-65.762794,early_19th-century_style
-57.81338,-60.306633,late_19th-century_style
-56.214806,-55.541668,contemporary
-71.996414,-64.95644,18th-century_style
-67.25772,-85.35923,early_19th-century_style
1.6125802,-68.912125,contemporary
-67.91771,-69.500496,late_19th-century_style
-64.98867,-65.83329,early_19th-century_style
-67.75114,-55.423832,18th-century_style
-50.025547,-73.64335,interwar
-64.377914,-64.98608,contemporary
-67.34913,-68.9282,early_19th-century_style
-59.773903,-71.9005,early_19th-century_style
-65.68663,-47.979263,late_19th-century_style
-60.823868,-75.62698,contemporary
-67.79896,-55.36975,18th-century_style
-72.67585,-50.37791,revival
-67.355705,-68.92419,early_19th-century_style
-84.97543,-61.667805,18th-century_style
-59.885105,-52.127056,late_19th-century_style
-72.34596,-61.114418,18th-century_style
-48.138218,-12.753378,contemporary
-72.34552,-61.080692,18th-century_style
-36.156864,-40.566513,contemporary
-81.249374,-67.346466,contemporary
-62.511093,-78.465,early_19th-century_style
-72.676544,-50.377872,revival
-62.142548,-62.45632,late_19th-century_style
-64.36453,-64.89717,contemporary
-92.14663,-30.018124,late_19th-century_style
-64.36547,-64.90249,contemporary
-85.2422,-61.67425,18th-century_style
-90.57326,-30.452547,early_19th-century_style
-37.42668,-17.26566,revival
-40.909023,-24.701378,revival
-58.948097,-66.03838,late_19th-century_style
-58.94907,-66.03733,late_19th-century_style
-65.74104,-69.36267,early_19th-century_style
-72.96584,-38.237705,late_19th-century_style
-71.49168,-67.64592,late_19th-century_style
-74.57506,-50.283314,late_19th-century_style
-82.794044,-58.321297,18th-century_style
-66.0699,-68.74731,early_19th-century_style
-93.90402,-32.443287,late_19th-century_style
-56.487255,-73.7554,early_19th-century_style
-48.746956,-42.905193,late_19th-century_style
-85.60766,-60.62676,18th-century_style
-67.002396,-64.387825,late_19th-century_style
-71.480835,-63.81373,late_19th-century_style
-70.21784,-64.13257,early_19th-century_style
-70.21306,-64.133064,early_19th-century_style
-56.500175,-73.75663,early_19th-century_style
-82.773506,-61.382736,18th-century_style
-67.02604,-64.416374,early_19th-century_style
-85.48145,-59.41405,18th-century_style
-40.884903,-16.023277,early_19th-century_style
-67.78773,-43.852413,late_19th-century_style
-76.66582,-66.26459,18th-century_style
-59.217896,-66.984146,late_19th-century_style
-29.580938,-45.95088,early_19th-century_style
-2.0606322,-76.2701,contemporary
-66.24492,-76.57597,contemporary
-61.792328,-29.66025,late_19th-century_style
-61.791225,-29.660381,late_19th-century_style
-70.66831,-62.170048,late_19th-century_style
-63.903225,-65.535095,late_19th-century_style
-65.49365,-72.24716,early_19th-century_style
-65.494255,-72.245964,early_19th-century_style
-78.29373,-51.748913,18th-century_style
-80.65134,-62.27792,18th-century_style
-71.3414,-25.252281,late_19th-century_style
-57.540016,-73.91296,early_19th-century_style
-58.163116,-8.602028,late_19th-century_style
-85.44421,-60.439674,18th-century_style
-49.71489,-29.510443,late_19th-century_style
-47.88653,-29.951971,late_19th-century_style
-60.15651,-50.401173,contemporary
-52.90574,-56.457615,contemporary
-81.01267,-52.254303,18th-century_style
-62.31506,-56.997913,late_19th-century_style
-72.72965,-32.8782,late_19th-century_style
-77.3676,-51.096725,18th-century_style
-86.80212,-61.797726,18th-century_style
-60.95251,-45.982933,late_19th-century_style
-75.83884,-35.978092,late_19th-century_style
-59.905655,-76.452484,contemporary
-55.918064,-61.814373,late_19th-century_style
-86.80212,-61.797726,18th-century_style
-26.215693,-74.78847,early_19th-century_style
-81.95622,-54.807354,18th-century_style
-77.75531,-68.973015,18th-century_style
-81.95357,-54.818287,18th-century_style
-62.157623,-68.05257,early_19th-century_style
-76.1841,-58.778244,18th-century_style
-84.32331,-60.753963,18th-century_style
-65.214615,-77.300316,early_19th-century_style
