1-t,2-t,label
63.780327,-5.438311,1911–1943
15.610152,-51.201965,1911–1943
65.297516,-2.5818381,1911–1943
-14.036116,-44.704998,1846–1910
-79.73091,68.3867,1995–2023
37.41193,86.85304,1911–1943
-47.72673,53.569324,1995–2023
67.759285,-15.48344,1911–1943
63.382866,41.204388,1911–1943
77.2141,-45.731068,1911–1943
-90.18099,27.419159,1995–2023
89.32273,-22.016653,1911–1943
-48.24283,43.02264,1995–2023
-19.423668,-62.6361,1846–1910
90.490234,-21.587545,1911–1943
4.363279,-18.310705,1944–1977
-82.836075,71.02536,1995–2023
-48.394836,-67.77537,pre-1652
-18.05773,-73.59306,1846–1910
15.780682,-1.5770065,1911–1943
35.326,-32.94863,1911–1943
-6.875143,93.60556,1944–1977
30.895496,-46.082565,1911–1943
-41.179237,-53.26666,pre-1652
-83.77796,-48.414116,1653–1705
20.220524,-98.17291,1846–1910
-61.827717,57.863415,1995–2023
-81.715225,-14.832076,1978–1994
-24.590536,-32.617332,1911–1943
75.97847,61.510326,1911–1943
-3.5069978,-85.386955,1846–1910
-75.609856,61.85392,1995–2023
-15.2707405,-38.008503,1846–1910
-38.939693,-67.515564,1706–1764
41.89272,44.176273,1911–1943
-45.561985,-64.66263,pre-1652
-14.040691,-82.961395,1846–1910
-49.575615,-23.705631,1911–1943
7.442966,96.58368,1944–1977
-16.650175,-18.45839,1846–1910
76.48799,-10.307568,1911–1943
55.084167,65.775345,1911–1943
36.422638,-89.3454,1911–1943
-18.421558,10.727876,1995–2023
-14.690681,69.13008,1944–1977
-8.556336,-79.28678,1846–1910
82.070755,-10.885991,1911–1943
13.389381,-44.544624,1911–1943
-96.19607,50.189022,1995–2023
5.8008523,-104.722435,1911–1943
-18.851618,-47.770115,1846–1910
-24.170584,-28.448208,1846–1910
-69.70174,-0.50232875,1978–1994
36.593037,-2.8467607,1911–1943
57.633224,-66.7024,1911–1943
-14.956015,-43.569553,1978–1994
79.14682,43.573906,1978–1994
-12.749257,-33.5564,1846–1910
7.1325784,-42.548378,1846–1910
-8.003305,3.5507755,1911–1943
-41.75519,-22.696384,1995–2023
-67.67893,60.19297,1995–2023
15.31595,-83.9651,1846–1910
-56.231087,70.072624,1995–2023
59.949314,-54.364124,1911–1943
-38.992577,72.5449,1995–2023
-61.37963,-3.2682433,1978–1994
-63.54794,53.33523,1995–2023
-50.7894,52.646206,1995–2023
-41.33891,14.478741,1978–1994
46.121086,-37.973927,1911–1943
70.765686,-22.862743,1911–1943
-26.274067,49.28432,1944–1977
41.941402,18.280008,1911–1943
-32.51052,-34.73672,1911–1943
-42.066166,1.1926184,1978–1994
-0.21163554,-81.47825,1846–1910
7.413649,-7.671578,1911–1943
-81.30321,-45.96747,1653–1705
-28.351492,-31.929775,1911–1943
3.6360428,-70.28294,1846–1910
29.440321,-64.2591,1911–1943
-40.76899,-34.91691,1846–1910
22.703089,10.323334,1911–1943
-44.591,12.859925,1978–1994
8.890355,51.33129,1944–1977
-65.30292,59.624046,1995–2023
2.8814797,16.681139,1911–1943
59.882385,-3.5575194,1911–1943
89.492584,-2.0279713,1911–1943
28.774078,-51.593094,1911–1943
82.469406,-20.100506,1911–1943
-42.064476,-39.656464,1765–1845
27.304844,-55.113686,1911–1943
55.390446,62.620033,1911–1943
-5.7195063,55.19018,1995–2023
1.0874447,-56.029213,1846–1910
78.21064,49.797977,1911–1943
50.955547,65.199455,1911–1943
-57.43289,57.11149,1995–2023
12.187563,68.15479,1944–1977
6.197646,-71.41873,1846–1910
-13.138929,55.91881,1944–1977
-30.319323,-56.285664,1846–1910
53.300133,57.944942,1911–1943
-58.225517,-18.91797,1846–1910
70.51491,-15.238314,1911–1943
-24.75934,-16.239965,1846–1910
31.140692,-66.51269,1911–1943
61.454933,54.275524,1911–1943
-40.17029,-23.477087,1978–1994
22.465092,-68.66585,1911–1943
-42.308846,-37.84474,1765–1845
106.37408,-24.655512,1911–1943
-37.98263,-69.17115,1765–1845
-33.280228,17.48801,1978–1994
7.4475026,90.54976,1944–1977
-2.4253078,70.60772,1944–1977
-41.50687,-65.172,1911–1943
1.8441414,-74.86943,1911–1943
37.3091,73.31733,1995–2023
28.552523,-80.49096,1846–1910
-0.9962754,-33.15262,1846–1910
-69.10961,10.872281,1978–1994
-27.742104,93.93206,1995–2023
39.458477,-31.14304,1911–1943
-31.526394,-28.975904,1846–1910
17.581127,-88.41843,1846–1910
53.338543,-51.07749,1911–1943
2.773511,-44.921085,1846–1910
-59.99271,-47.076748,1706–1764
34.18108,-94.846306,1846–1910
-109.07535,25.91177,1995–2023
-37.682644,-0.05445077,1978–1994
101.880844,6.8570924,1911–1943
57.347435,-21.67397,1911–1943
-59.139347,38.221046,1995–2023
89.54803,53.476112,1911–1943
-5.3920455,106.92587,1944–1977
65.11045,-80.89032,1911–1943
1.1631093,-87.177475,1944–1977
50.233356,9.328997,1944–1977
-17.627682,-77.237305,1846–1910
101.14993,16.07927,1911–1943
50.26459,-76.79134,1911–1943
-6.907208,18.455881,1944–1977
-36.088097,30.931295,1995–2023
58.94195,86.58178,1911–1943
-80.82097,-51.161873,1653–1705
-19.454132,17.972582,1995–2023
-46.21286,-44.546005,1846–1910
-33.13533,18.52602,1978–1994
-1.2627038,65.1296,1944–1977
-56.371044,-24.535164,1846–1910
51.71499,-38.152287,1911–1943
26.615925,-18.048227,1911–1943
-6.8528132,-73.76049,1846–1910
-36.069714,-65.59231,1911–1943
40.69167,22.24031,1911–1943
